Location,Prix
Paris 1er arrondissement,10575
Paris 2e arrondissement,9085
Paris 3e arrondissement,10038
Paris 4e arrondissement,11250
Paris 5e arrondissement,10605
Paris 6e arrondissement,12401
Paris 7e arrondissement,12196
Paris 8e arrondissement,10451
Paris 9e arrondissement,8439
Paris 10e arrondissement,7432
Paris 11e arrondissement,7934
Paris 12e arrondissement,7733
Paris 13e arrondissement,7618
Paris 14e arrondissement,8336
Paris 15e arrondissement,8552
Paris 16e arrondissement,8955
Paris 17e arrondissement,8322
Paris 18e arrondissement,7144
Paris 19e arrondissement,6333
Paris 20e arrondissement,6586
